,Location,Year,Motor Car,Dual Purpose Vehicle,Lorry,Cycle,Motor Cycle/Moped,Three wheeler,"Articulated Vehicle, prime mover",SLT Bus,Private Bus,Intercity Bus,Land Vehicle/Tractor,Animal drawn vehicle or rider on animal,Other,Total,Lat,Lon
0,Ampara ,2010,38,83,154,130,631,127,6,18,24,2,46,1,1,1261,7.29754,81.68202
1,Anuradhapura ,2010,76,176,261,182,817,159,8,26,100,2,49,1,0,1857,8.31223,80.41306
2,Badulla (Badulla & Bandarawela Divisions),2010,61,107,150,18,227,152,1,54,71,0,15,0,0,856,6.9802,81.0577
3,Batticaloa,2010,17,72,90,135,374,66,3,10,22,1,20,1,1,812,7.8293,81.4718
4,Chilaw (Chilaw & Puttalam Divisions),2010,92,157,221,83,436,114,4,18,68,2,14,0,0,1209,7.57583,79.79528
5,"Colombo (Colombo-South, North, Central, Mt. Lavinia & Nugegoda Divisions)",2010,6451,4011,1930,257,3110,2584,84,260,1652,7,60,2,7,20415,6.93548,79.84868
6,Galle (Galle & Elpitiya Divisions),2010,364,406,348,239,1107,420,5,75,235,7,24,0,0,3230,6.0461,80.2103
7,"Gampaha (Gampaha, Negombo & Kelaniya Divisions)",2010,2035,2012,1536,386,2685,1308,139,168,673,5,57,0,5,11009,7.0897,79.9925
8,Jaffna (Jaffna & KKS Divisions),2010,29,84,92,141,318,56,2,25,61,0,33,1,0,842,9.66845,80.00742
9,Kalutara (Kalutara & Panadura Divisions),2010,289,355,335,215,974,373,9,70,222,14,17,1,6,2880,6.5831,79.9593
10,Kandy (Kandy & Gampola Divisions),2010,556,542,427,24,571,564,2,118,338,4,10,0,0,3156,7.2906,80.6336
11,Kegalle (Kegalle & Seethawaka Divisions),2010,221,329,270,26,397,338,17,78,204,2,3,0,0,1885,7.2523,80.3436
12,Kilinochchi (Kilinochchi & Mankulam Divisions),2010,5,58,43,27,57,17,3,14,35,0,13,0,1,273,9.3961,80.3982
13,"Kurunegala (Kurunegala, Kuliyapitiya & Nikaweratiya Divisions)",2010,318,500,605,231,1601,378,22,87,227,7,64,0,0,4040,7.4839,80.3683
14,Mannar ,2010,9,25,46,13,53,11,1,11,13,0,13,1,0,196,8.981,79.9044
