ROW,ACADEMIC_PERIOD,STUDENT_LEVEL,MODALITY_DESC
1,202310,GR,Online
2,202310,GR,Face-To-Face
3,202310,UG,Online
4,202310,GR,Both
5,202310,GR,Online
6,202310,UG,Online
7,202310,GR,Face-To-Face
8,202310,UG,Online
9,202310,UG,Online
10,202310,UG,Online
11,202310,UG,Online
12,202310,UG,Online
13,202310,UG,Online
14,202310,UG,Online
15,202310,UG,Online
16,202310,GR,Both
17,202310,UG,Face-To-Face
18,202310,UG,Both
19,202310,UG,Face-To-Face
20,202310,UG,Face-To-Face
21,202310,GR,Face-To-Face
22,202310,GR,Online
23,202310,UG,Online
24,202310,UG,Both
25,202310,UG,Online
26,202310,GR,Online
27,202310,UG,Online
28,202310,UG,Online
29,202310,GR,Online
30,202310,UG,Online
31,202310,GR,Online
32,202310,GR,Online
33,202310,GR,Online
34,202310,GR,Face-To-Face
35,202310,UG,Online
36,202310,GR,Face-To-Face
37,202310,UG,Both
38,202310,UG,Online
39,202310,UG,Online
40,202310,UG,Both
41,202310,GR,Both
42,202310,GR,Online
43,202310,UG,Online
44,202310,UG,Face-To-Face
45,202310,UG,Online
46,202310,GR,Online
47,202310,GR,Face-To-Face
48,202310,GR,Online
49,202310,UG,Both
50,202310,GR,Online
51,202310,GR,Face-To-Face
52,202310,UG,Face-To-Face
53,202310,UG,Online
54,202310,GR,Both
55,202310,UG,Online
56,202310,UG,Online
57,202310,UG,Online
58,202310,GR,Face-To-Face
59,202310,GR,Online
60,202310,GR,Online
61,202310,GR,Online
62,202310,GR,Online
63,202310,GR,Both
64,202310,GR,Online
65,202310,UG,Both
66,202310,GR,Online
67,202310,UG,Online
68,202310,GR,Online
69,202310,UG,Both
70,202310,GR,Online
71,202310,GR,Online
72,202310,GR,Online
73,202310,GR,Face-To-Face
74,202310,UG,Both
75,202310,GR,Face-To-Face
76,202310,UG,Online
77,202310,GR,Face-To-Face
78,202310,GR,Online
79,202310,GR,Online
80,202310,GR,Online
81,202310,GR,Online
82,202310,GR,Face-To-Face
83,202310,UG,Online
84,202310,UG,Online
85,202310,GR,Face-To-Face
86,202310,GR,Face-To-Face
87,202310,UG,Face-To-Face
88,202310,UG,Online
89,202310,UG,Online
90,202310,GR,Online
91,202310,GR,Online
92,202310,GR,Online
93,202310,GR,Online
94,202310,GR,Both
95,202310,GR,Face-To-Face
96,202310,UG,Face-To-Face
97,202310,GR,Online
98,202310,UG,Face-To-Face
99,202310,UG,Online
100,202310,UG,Online
101,202310,UG,Face-To-Face
102,202310,UG,Online
103,202310,UG,Online
104,202310,GR,Online
105,202310,UG,Online
106,202310,UG,Both
107,202310,GR,Online
108,202310,UG,Online
109,202310,UG,Online
110,202310,UG,Online
111,202310,UG,Online
112,202310,UG,Online
113,202310,UG,Both
114,202310,GR,Both
115,202310,GR,Online
116,202310,GR,Online
117,202310,UG,Online
118,202310,UG,Online
119,202310,UG,Online
120,202310,GR,Online
121,202310,GR,Online
122,202310,UG,Online
123,202310,GR,Online
124,202310,GR,Online
125,202310,GR,Face-To-Face
126,202310,GR,Face-To-Face
127,202310,GR,Online
128,202310,GR,Both
129,202310,GR,Online
130,202310,UG,Online
131,202310,GR,Both
132,202310,GR,Online
133,202310,GR,Online
134,202310,UG,Online
135,202310,GR,Online
136,202310,GR,Online
137,202310,UG,Face-To-Face
138,202310,GR,Online
139,202310,UG,Online
140,202310,UG,Both
141,202310,GR,Both
142,202310,GR,Online
143,202310,GR,Online
144,202310,UG,Online
145,202310,UG,Online
146,202310,GR,Online
147,202310,UG,Both
148,202310,GR,Face-To-Face
149,202310,GR,Online
150,202310,UG,Online
151,202310,UG,Online
152,202310,UG,Online
153,202310,UG,Online
154,202310,GR,Online
155,202310,UG,Online
156,202310,GR,Both
157,202310,UG,Online
158,202310,GR,Online
159,202310,UG,Online
160,202310,UG,Online
161,202310,GR,Online
162,202310,UG,Online
163,202310,GR,Online
164,202310,UG,Both
165,202310,GR,Online
166,202310,GR,Face-To-Face
167,202310,GR,Online
168,202310,UG,Online
169,202310,GR,Face-To-Face
170,202310,GR,Online
171,202310,GR,Face-To-Face
172,202310,UG,Online
173,202310,UG,Online
174,202310,GR,Online
175,202310,GR,Face-To-Face
176,202310,GR,Online
177,202310,UG,Face-To-Face
178,202310,GR,Online
179,202310,GR,Online
180,202310,UG,Online
181,202310,UG,Both
182,202310,GR,Online
183,202310,GR,Online
184,202310,GR,Face-To-Face
185,202310,UG,Online
186,202310,UG,Both
187,202310,GR,Both
188,202310,GR,Face-To-Face
189,202310,GR,Online
190,202310,GR,Online
191,202310,UG,Both
192,202310,UG,Face-To-Face
193,202310,UG,Face-To-Face
194,202310,GR,Face-To-Face
195,202310,UG,Online
196,202310,UG,Online
197,202310,GR,Online
198,202310,GR,Online
199,202310,UG,Face-To-Face
200,202310,GR,Online
201,202310,GR,Online
202,202310,UG,Online
203,202310,GR,Online
204,202310,UG,Online
205,202310,UG,Online
206,202310,UG,Face-To-Face
207,202310,UG,Online
208,202310,UG,Online
209,202310,UG,Online
210,202310,UG,Online
211,202310,UG,Both
212,202310,UG,Both
213,202310,UG,Online
214,202310,GR,Face-To-Face
215,202310,GR,Online
216,202310,UG,Online
217,202310,GR,Face-To-Face
218,202310,GR,Online
219,202310,UG,Both
220,202310,UG,Both
221,202310,GR,Online
222,202310,UG,Face-To-Face
223,202310,UG,Online
224,202310,GR,Both
225,202310,GR,Both
226,202310,GR,Face-To-Face
227,202310,UG,Online
228,202310,UG,Online
229,202310,UG,Online
230,202310,GR,Online
231,202310,GR,Online
232,202310,UG,Online
233,202310,UG,Online
234,202310,GR,Both
235,202310,GR,Online
236,202310,UG,Face-To-Face
237,202310,GR,Online
238,202310,GR,Online
239,202310,GR,Online
240,202310,GR,Online
241,202310,UG,Online
242,202310,UG,Online
243,202310,UG,Online
244,202310,GR,Both
245,202310,GR,Online
246,202310,GR,Online
247,202310,UG,Both
248,202310,UG,Online
249,202310,GR,Online
250,202310,UG,Online
251,202310,UG,Both
252,202310,GR,Online
253,202310,UG,Online
254,202310,GR,Face-To-Face
255,202310,GR,Online
256,202310,GR,Online
257,202310,GR,Online
258,202310,UG,Face-To-Face
259,202310,GR,Online
260,202310,UG,Online
261,202310,GR,Online
262,202310,GR,Both
263,202310,UG,Online
264,202310,UG,Online
265,202310,UG,Online
